group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human,plate1,seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,0.006162,interpolated,0.01021,0.01021,interpolated,0.8,0.8339,0,0.862,0.06903
human,plate1,seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,0.006024,interpolated,0.01728,0.01728,interpolated,1.106,0.6558,0,0.8349,0.05778
human,plate1,seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,0.025,lower,0.0279,0.025,lower,2.664,0.9706,0,0.9557,0.0291
human,plate1,seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,0.025,lower,0.1627,0.025,lower,0.8,0.9165,0,0.2283,0.1005
human,plate1,seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,0.01181,interpolated,0.0163,0.0163,interpolated,1.18,0.8419,0,0.9192,0.05354
human,plate1,seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,0.003819,interpolated,0.007679,0.007679,interpolated,0.8802,0.7704,0,0.8852,0.07126
human,plate1,seqneut25to26_sera_0001,A/Bangkok/1803/2025_H1N1,plate1-A/Bangkok/1803/2025_H1N1,0.009957,interpolated,0.01142,0.01142,interpolated,0.9022,0.9417,0,0.8643,0.08643
human,plate1,seqneut25to26_sera_0001,A/Bangkok/P2229/2025_H1N1,plate1-A/Bangkok/P2229/2025_H1N1,0.01445,interpolated,0.01815,0.01815,interpolated,0.8777,0.9093,0,0.8519,0.07206
human,plate1,seqneut25to26_sera_0001,A/Bangkok/P2323/2025_H3N2,plate1-A/Bangkok/P2323/2025_H3N2,0.01089,interpolated,0.02071,0.02071,interpolated,1.14,0.7404,0,0.8525,0.05695
human,plate1,seqneut25to26_sera_0001,A/Bangkok/P2390/2025_H3N2,plate1-A/Bangkok/P2390/2025_H3N2,0.01274,interpolated,0.01681,0.01681,interpolated,0.952,0.8842,0,0.8429,0.07519
