group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human,plate16-2,seqneut25to26_sera_0040,A/Alagoas/4130/2025_H3N2,plate16-2-A/Alagoas/4130/2025_H3N2,0.002709,interpolated,0.003227,0.003227,interpolated,0.9167,0.9259,0,0.9465,0.0653
human,plate16-2,seqneut25to26_sera_0040,A/Anapolis/LEIAL6543/2025_H3N2,plate16-2-A/Anapolis/LEIAL6543/2025_H3N2,0.003561,interpolated,0.004936,0.004936,interpolated,0.8,0.8851,0,0.7839,0.1225
human,plate16-2,seqneut25to26_sera_0040,A/Andalucia/PMC-00977/2025_H1N1,plate16-2-A/Andalucia/PMC-00977/2025_H1N1,0.006034,interpolated,0.006718,0.006718,interpolated,2.611,0.8778,0,0.9212,0.09509
human,plate16-2,seqneut25to26_sera_0040,A/Aragon/2046/2025_H1N1,plate16-2-A/Aragon/2046/2025_H1N1,0.005588,interpolated,0.005618,0.005618,interpolated,2.386,0.9938,0,0.9922,0.0331
human,plate16-2,seqneut25to26_sera_0040,A/Arica/59150/2025_H3N2,plate16-2-A/Arica/59150/2025_H3N2,0.00212,interpolated,0.002634,0.002634,interpolated,0.9477,0.9071,0,0.939,0.07279
human,plate16-2,seqneut25to26_sera_0040,A/Bahia/3102/2025_H3N2,plate16-2-A/Bahia/3102/2025_H3N2,0.002041,interpolated,0.002706,0.002706,interpolated,1.558,0.8222,0,0.915,0.09328
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/1803/2025_H1N1,plate16-2-A/Bangkok/1803/2025_H1N1,0.007107,interpolated,0.007386,0.007386,interpolated,2.444,0.955,0,0.9431,0.08271
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2229/2025_H1N1,plate16-2-A/Bangkok/P2229/2025_H1N1,0.003815,interpolated,0.004577,0.004577,interpolated,2.017,0.8463,0,0.9096,0.1013
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2323/2025_H3N2,plate16-2-A/Bangkok/P2323/2025_H3N2,0.003971,interpolated,0.004628,0.004628,interpolated,1.241,0.9136,0,0.9443,0.07149
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2390/2025_H3N2,plate16-2-A/Bangkok/P2390/2025_H3N2,0.004686,interpolated,0.004686,0.004686,interpolated,0.8,1,0,0.9056,0.08832
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2391/2025_H3N2,plate16-2-A/Bangkok/P2391/2025_H3N2,0.002274,interpolated,0.004377,0.004377,interpolated,1.034,0.7542,0,0.9284,0.0621
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2572/2025_H3N2,plate16-2-A/Bangkok/P2572/2025_H3N2,0.002692,interpolated,0.003862,0.003862,interpolated,1.505,0.7903,0,0.8086,0.1305
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P2921/2025_H3N2,plate16-2-A/Bangkok/P2921/2025_H3N2,0.00299,interpolated,0.003654,0.003654,interpolated,0.827,0.9235,0,0.9326,0.06992
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P3067/2025_H1N1,plate16-2-A/Bangkok/P3067/2025_H1N1,0.003005,interpolated,0.003005,0.003005,interpolated,1.719,1,0,0.9955,0.02621
human,plate16-2,seqneut25to26_sera_0040,A/Bangkok/P3263/2025_H3N2,plate16-2-A/Bangkok/P3263/2025_H3N2,0.002369,interpolated,0.002647,0.002647,interpolated,0.9383,0.9506,0,0.8079,0.1415
human,plate16-2,seqneut25to26_sera_0040,A/Belgium/H0097/2025_H3N2,plate16-2-A/Belgium/H0097/2025_H3N2,0.002528,interpolated,0.003245,0.003245,interpolated,1.056,0.8841,0,0.9481,0.06688
human,plate16-2,seqneut25to26_sera_0040,A/Bhutan/1267/2025_H3N2,plate16-2-A/Bhutan/1267/2025_H3N2,0.00201,interpolated,0.002055,0.002055,interpolated,0.8,0.9911,0,0.9479,0.0687
human,plate16-2,seqneut25to26_sera_0040,A/Bhutan/7/2025_H3N2,plate16-2-A/Bhutan/7/2025_H3N2,0.002281,interpolated,0.003437,0.003437,interpolated,0.8019,0.8599,0,0.9234,0.06856
human,plate16-2,seqneut25to26_sera_0040,A/BritishColumbia/PHL-2473/2025_H1N1,plate16-2-A/BritishColumbia/PHL-2473/2025_H1N1,0.007533,interpolated,0.007802,0.007802,interpolated,5.406,0.9137,0,0.9415,0.08988
human,plate16-2,seqneut25to26_sera_0040,A/California/61/2025_H3N2,plate16-2-A/California/61/2025_H3N2,0.002853,interpolated,0.003516,0.003516,interpolated,1.125,0.8952,0,0.9548,0.06492
human,plate16-2,seqneut25to26_sera_0040,A/California/63/2025_H1N1,plate16-2-A/California/63/2025_H1N1,0.002755,interpolated,0.003658,0.003658,interpolated,1.138,0.8622,0,0.7938,0.1485
human,plate16-2,seqneut25to26_sera_0040,A/Canberra/465/2025_H1N1,plate16-2-A/Canberra/465/2025_H1N1,0.006576,interpolated,0.006905,0.006905,interpolated,4.082,0.9098,0,0.9623,0.07006
human,plate16-2,seqneut25to26_sera_0040,A/Canberra/530/2025_H1N1,plate16-2-A/Canberra/530/2025_H1N1,0.006035,interpolated,0.006357,0.006357,interpolated,1.916,0.9527,0,0.9509,0.076
human,plate16-2,seqneut25to26_sera_0040,A/Catalonia/NSVH102689455/2025_H1N1,plate16-2-A/Catalonia/NSVH102689455/2025_H1N1,0.004499,interpolated,0.004619,0.004619,interpolated,2.694,0.9657,0,0.9923,0.0337
human,plate16-2,seqneut25to26_sera_0040,A/Colorado/105/2025_H1N1,plate16-2-A/Colorado/105/2025_H1N1,0.009879,interpolated,0.009935,0.009935,interpolated,10,0.9727,0,0.9789,0.05331
human,plate16-2,seqneut25to26_sera_0040,A/CoteDIvoire/2007/2025_H1N1,plate16-2-A/CoteDIvoire/2007/2025_H1N1,0.004484,interpolated,0.005165,0.005165,interpolated,0.9671,0.9361,0,0.7607,0.1394
human,plate16-2,seqneut25to26_sera_0040,A/Croatia/10136RV/2023-egg_H3N2,plate16-2-A/Croatia/10136RV/2023-egg_H3N2,0.002453,interpolated,0.005532,0.005532,interpolated,1.588,0.6375,0,0.644,0.1504
human,plate16-2,seqneut25to26_sera_0040,A/Darwin/1405/2025_H1N1,plate16-2-A/Darwin/1405/2025_H1N1,0.004298,interpolated,0.004385,0.004385,interpolated,1.714,0.9832,0,0.9756,0.05652
human,plate16-2,seqneut25to26_sera_0040,A/Darwin/1461/2025_H3N2,plate16-2-A/Darwin/1461/2025_H3N2,0.001188,interpolated,0.002048,0.002048,interpolated,0.9596,0.7965,0,0.779,0.132
human,plate16-2,seqneut25to26_sera_0040,A/Denmark/3070/2025_H1N1,plate16-2-A/Denmark/3070/2025_H1N1,0.003329,interpolated,0.003329,0.003329,interpolated,1.745,1,0,0.9865,0.04475
human,plate16-2,seqneut25to26_sera_0040,A/DistrictOfColumbia/27/2023_H3N2,plate16-2-A/DistrictOfColumbia/27/2023_H3N2,0.002565,interpolated,0.003291,0.003291,interpolated,1.118,0.8784,0,0.8677,0.1111
human,plate16-2,seqneut25to26_sera_0040,A/DistrictOfColumbia/57/2025_H3N2,plate16-2-A/DistrictOfColumbia/57/2025_H3N2,0.005053,interpolated,0.006359,0.006359,interpolated,1.007,0.8967,0,0.9076,0.07963
human,plate16-2,seqneut25to26_sera_0040,A/DistritoFederal/250106000728/2025_H3N2,plate16-2-A/DistritoFederal/250106000728/2025_H3N2,0.006615,interpolated,0.008139,0.008139,interpolated,1.784,0.8454,0,0.8566,0.1119
human,plate16-2,seqneut25to26_sera_0040,A/DistritoFederal/2578578201/2025_H3N2,plate16-2-A/DistritoFederal/2578578201/2025_H3N2,0.004242,interpolated,0.00764,0.00764,interpolated,0.8,0.8123,0,0.7291,0.1126
human,plate16-2,seqneut25to26_sera_0040,A/England/174/2025_H3N2,plate16-2-A/England/174/2025_H3N2,0.001668,interpolated,0.003693,0.003693,interpolated,0.8,0.7648,0,0.8196,0.09857
human,plate16-2,seqneut25to26_sera_0040,A/England/1822256/2025_H1N1,plate16-2-A/England/1822256/2025_H1N1,0.004526,interpolated,0.004819,0.004819,interpolated,2.172,0.9363,0,0.9551,0.07778
human,plate16-2,seqneut25to26_sera_0040,A/England/1837734/2025_H3N2,plate16-2-A/England/1837734/2025_H3N2,0.004307,interpolated,0.005814,0.005814,interpolated,1.173,0.8517,0,0.8608,0.1065
human,plate16-2,seqneut25to26_sera_0040,A/England/1837737/2025_H3N2,plate16-2-A/England/1837737/2025_H3N2,0.008223,interpolated,0.009173,0.009173,interpolated,0.8,0.9582,0,0.7661,0.1179
human,plate16-2,seqneut25to26_sera_0040,A/France/ARA-HCL025155099501/2025_H1N1,plate16-2-A/France/ARA-HCL025155099501/2025_H1N1,0.006167,interpolated,0.006254,0.006254,interpolated,1.509,0.9895,0,0.9543,0.0738
